@relation 'pacmandirection-weka.filters.unsupervised.attribute.Remove-R3-7,12-19,25-29'

@attribute posPacmanX numeric
@attribute posPacmanY numeric
@attribute distanceGhosts1 numeric
@attribute distanceGhosts2 numeric
@attribute distanceGhosts3 numeric
@attribute distanceGhosts4 numeric
@attribute legalNorth {True,False}
@attribute legalSouth {True,False}
@attribute legalEast {True,False}
@attribute legalWest {True,False}
@attribute legalStop {True,False}
@attribute directionPacman {North,South,West,East,Stop,None}

@data
1,11,11,7,7,18,False,True,True,False,True,Stop
1,10,10,6,8,17,True,True,False,False,True,South
1,9,9,5,9,16,True,True,True,False,True,South
1,8,8,6,10,15,True,True,True,False,True,South
1,7,7,7,11,14,True,True,True,False,True,South
1,6,6,8,12,13,True,True,False,False,True,South
1,5,5,9,13,14,True,True,True,False,True,South
2,5,4,8,12,13,False,True,True,True,True,East
3,5,3,7,11,12,False,True,True,True,True,East
4,5,2,6,10,11,False,True,True,True,True,East
5,5,1,5,9,10,False,True,True,True,True,East
6,5,-1,4,8,9,False,True,True,True,True,East
7,5,-1,5,7,8,False,True,True,True,True,East
8,5,-1,6,6,7,True,True,True,True,True,East
9,5,-1,7,7,6,True,True,True,True,True,East
10,5,-1,8,8,5,True,True,True,True,True,East
10,6,-1,7,7,4,True,True,False,True,True,North
10,7,-1,6,6,5,True,True,False,True,True,North
10,8,-1,5,5,6,True,True,False,True,True,North
10,9,-1,4,4,7,True,True,True,True,True,North
10,10,-1,5,3,8,True,True,True,False,True,North
10,11,-1,6,2,9,False,True,True,True,True,North
9,11,-1,5,1,10,False,False,True,True,True,West
8,11,-1,4,-1,11,False,False,True,True,True,West
9,11,-1,5,-1,10,False,False,True,True,True,East
10,11,-1,6,-1,9,False,True,True,True,True,East
11,11,-1,7,-1,8,False,True,True,True,True,East
12,11,-1,8,-1,7,False,False,True,True,True,East
13,11,-1,9,-1,6,False,False,True,True,True,East
14,11,-1,10,-1,5,False,True,True,True,True,East
14,10,-1,9,-1,4,True,True,False,False,True,South
14,9,-1,8,-1,3,True,True,True,True,True,South
14,8,-1,9,-1,2,True,True,True,True,True,South
14,7,-1,10,-1,1,True,True,True,True,True,South
14,6,-1,11,-1,-1,True,True,False,False,True,South
14,7,-1,10,-1,-1,True,True,True,True,True,North
13,7,-1,9,-1,-1,True,False,True,True,True,West
12,7,-1,8,-1,-1,True,False,True,False,True,West
12,8,-1,7,-1,-1,True,True,True,False,True,North
12,9,-1,6,-1,-1,False,True,True,True,True,North
11,9,-1,5,-1,-1,True,False,True,True,True,West
10,9,-1,4,-1,-1,True,True,True,True,True,West
9,9,-1,3,-1,-1,False,True,True,True,True,West
8,9,-1,2,-1,-1,False,True,True,True,True,West
1,11,11,7,7,18,False,True,True,False,True,Stop
1,10,10,6,8,17,True,True,False,False,True,South
1,9,9,5,9,16,True,True,True,False,True,South
1,8,8,6,10,15,True,True,True,False,True,South
1,7,7,7,11,14,True,True,True,False,True,South
1,6,6,8,12,13,True,True,False,False,True,South
1,5,5,9,13,14,True,True,True,False,True,South
2,5,4,8,12,13,False,True,True,True,True,East
3,5,3,7,11,12,False,True,True,True,True,East
4,5,2,6,10,11,False,True,True,True,True,East
5,5,1,5,9,10,False,True,True,True,True,East
6,5,-1,4,8,9,False,True,True,True,True,East
7,5,-1,5,7,8,False,True,True,True,True,East
8,5,-1,6,6,7,True,True,True,True,True,East
9,5,-1,7,7,6,True,True,True,True,True,East
10,5,-1,8,8,5,True,True,True,True,True,East
10,6,-1,7,7,4,True,True,False,True,True,North
10,7,-1,6,6,5,True,True,False,True,True,North
10,8,-1,5,5,6,True,True,False,True,True,North
10,9,-1,4,4,7,True,True,True,True,True,North
10,10,-1,5,3,8,True,True,True,False,True,North
10,11,-1,6,2,9,False,True,True,True,True,North
9,11,-1,5,1,10,False,False,True,True,True,West
8,11,-1,4,-1,11,False,False,True,True,True,West
9,11,-1,5,-1,10,False,False,True,True,True,East
10,11,-1,6,-1,9,False,True,True,True,True,East
11,11,-1,7,-1,8,False,True,True,True,True,East
12,11,-1,8,-1,7,False,False,True,True,True,East
13,11,-1,9,-1,6,False,False,True,True,True,East
14,11,-1,10,-1,5,False,True,True,True,True,East
14,10,-1,9,-1,4,True,True,False,False,True,South
14,9,-1,8,-1,3,True,True,True,True,True,South
14,8,-1,9,-1,2,True,True,True,True,True,South
14,7,-1,10,-1,1,True,True,True,True,True,South
14,6,-1,11,-1,-1,True,True,False,False,True,South
14,7,-1,10,-1,-1,True,True,True,True,True,North
13,7,-1,9,-1,-1,True,False,True,True,True,West
12,7,-1,8,-1,-1,True,False,True,False,True,West
12,8,-1,7,-1,-1,True,True,True,False,True,North
12,9,-1,6,-1,-1,False,True,True,True,True,North
11,9,-1,5,-1,-1,True,False,True,True,True,West
10,9,-1,4,-1,-1,True,True,True,True,True,West
9,9,-1,3,-1,-1,False,True,True,True,True,West
8,9,-1,2,-1,-1,False,True,True,True,True,West
1,11,11,7,7,18,False,True,True,False,True,Stop
1,10,10,6,8,17,True,True,False,False,True,South
1,9,9,5,9,16,True,True,True,False,True,South
1,8,8,6,10,15,True,True,True,False,True,South
1,7,7,7,11,14,True,True,True,False,True,South
1,6,6,8,12,13,True,True,False,False,True,South
1,5,5,9,13,14,True,True,True,False,True,South
2,5,4,8,12,13,False,True,True,True,True,East
3,5,3,7,11,12,False,True,True,True,True,East
4,5,2,6,10,11,False,True,True,True,True,East
5,5,1,5,9,10,False,True,True,True,True,East
6,5,-1,4,8,9,False,True,True,True,True,East
7,5,-1,5,7,8,False,True,True,True,True,East
8,5,-1,6,6,7,True,True,True,True,True,East
9,5,-1,7,7,6,True,True,True,True,True,East
10,5,-1,8,8,5,True,True,True,True,True,East
10,6,-1,7,7,4,True,True,False,True,True,North
10,7,-1,6,6,5,True,True,False,True,True,North
10,8,-1,5,5,6,True,True,False,True,True,North
10,9,-1,4,4,7,True,True,True,True,True,North
10,10,-1,5,3,8,True,True,True,False,True,North
10,11,-1,6,2,9,False,True,True,True,True,North
9,11,-1,5,1,10,False,False,True,True,True,West
8,11,-1,4,-1,11,False,False,True,True,True,West
9,11,-1,5,-1,10,False,False,True,True,True,East
10,11,-1,6,-1,9,False,True,True,True,True,East
11,11,-1,7,-1,8,False,True,True,True,True,East
12,11,-1,8,-1,7,False,False,True,True,True,East
13,11,-1,9,-1,6,False,False,True,True,True,East
14,11,-1,10,-1,5,False,True,True,True,True,East
14,10,-1,9,-1,4,True,True,False,False,True,South
14,9,-1,8,-1,3,True,True,True,True,True,South
14,8,-1,9,-1,2,True,True,True,True,True,South
14,7,-1,10,-1,1,True,True,True,True,True,South
14,6,-1,11,-1,-1,True,True,False,False,True,South
14,7,-1,10,-1,-1,True,True,True,True,True,North
13,7,-1,9,-1,-1,True,False,True,True,True,West
12,7,-1,8,-1,-1,True,False,True,False,True,West
12,8,-1,7,-1,-1,True,True,True,False,True,North
12,9,-1,6,-1,-1,False,True,True,True,True,North
11,9,-1,5,-1,-1,True,False,True,True,True,West
10,9,-1,4,-1,-1,True,True,True,True,True,West
9,9,-1,3,-1,-1,False,True,True,True,True,West
8,9,-1,2,-1,-1,False,True,True,True,True,West
1,11,11,7,7,18,False,True,True,False,True,Stop
1,10,10,6,8,17,True,True,False,False,True,South
1,9,9,5,9,16,True,True,True,False,True,South
1,8,8,6,10,15,True,True,True,False,True,South
1,7,7,7,11,14,True,True,True,False,True,South
1,6,6,8,12,13,True,True,False,False,True,South
1,5,5,9,13,14,True,True,True,False,True,South
2,5,4,8,12,13,False,True,True,True,True,East
3,5,3,7,11,12,False,True,True,True,True,East
4,5,2,6,10,11,False,True,True,True,True,East
5,5,1,5,9,10,False,True,True,True,True,East
6,5,-1,4,8,9,False,True,True,True,True,East
7,5,-1,5,7,8,False,True,True,True,True,East
8,5,-1,6,6,7,True,True,True,True,True,East
9,5,-1,7,7,6,True,True,True,True,True,East
10,5,-1,8,8,5,True,True,True,True,True,East
10,6,-1,7,7,4,True,True,False,True,True,North
10,7,-1,6,6,5,True,True,False,True,True,North
10,8,-1,5,5,6,True,True,False,True,True,North
10,9,-1,4,4,7,True,True,True,True,True,North
10,10,-1,5,3,8,True,True,True,False,True,North
10,11,-1,6,2,9,False,True,True,True,True,North
9,11,-1,5,1,10,False,False,True,True,True,West
8,11,-1,4,-1,11,False,False,True,True,True,West
9,11,-1,5,-1,10,False,False,True,True,True,East
10,11,-1,6,-1,9,False,True,True,True,True,East
11,11,-1,7,-1,8,False,True,True,True,True,East
12,11,-1,8,-1,7,False,False,True,True,True,East
13,11,-1,9,-1,6,False,False,True,True,True,East
14,11,-1,10,-1,5,False,True,True,True,True,East
14,10,-1,9,-1,4,True,True,False,False,True,South
14,9,-1,8,-1,3,True,True,True,True,True,South
14,8,-1,9,-1,2,True,True,True,True,True,South
14,7,-1,10,-1,1,True,True,True,True,True,South
14,6,-1,11,-1,-1,True,True,False,False,True,South
14,7,-1,10,-1,-1,True,True,True,True,True,North
13,7,-1,9,-1,-1,True,False,True,True,True,West
