@relation pacmandirection-weka.filters.unsupervised.attribute.Remove-R1-7-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.attribute.Remove-R18-21

@attribute distanceGhosts1 numeric
@attribute distanceGhosts2 numeric
@attribute distanceGhosts3 numeric
@attribute distanceGhosts4 numeric
@attribute posGhost1X numeric
@attribute posGhost1Y numeric
@attribute posGhost2X numeric
@attribute posGhost2Y numeric
@attribute posGhost3X numeric
@attribute posGhost3Y numeric
@attribute posGhost4X numeric
@attribute posGhost4Y numeric
@attribute legalNorth {True,False}
@attribute legalSouth {True,False}
@attribute legalEast {True,False}
@attribute legalWest {True,False}
@attribute legalStop {True,False}
@attribute directionPacman {North,South,West,East,Stop,None}

@data
11,9,5,3,5,6,5,12,13,6,13,12,False,False,True,True,True,Stop
10,8,6,4,5,6,5,12,13,6,13,12,False,False,True,True,True,West
9,7,7,5,5,6,5,12,13,6,13,12,False,False,True,True,True,West
8,6,8,6,5,6,5,12,13,6,13,12,False,False,True,True,True,West
7,5,9,7,5,6,5,12,13,6,13,12,False,False,True,True,True,West
6,4,10,8,5,6,5,12,13,6,13,12,False,False,True,True,True,West
5,3,11,9,5,6,5,12,13,6,13,12,False,False,True,True,True,West
4,2,12,10,5,6,5,12,13,6,13,12,False,True,True,True,True,West
5,3,13,11,5,6,5,12,13,6,13,12,False,True,True,True,True,West
4,4,12,12,5,6,5,12,13,6,13,12,True,True,True,True,True,South
3,5,11,13,5,6,5,12,13,6,13,12,True,True,True,True,True,South
2,6,10,14,5,6,5,12,13,6,13,12,True,True,False,True,True,South
1,7,9,15,5,6,5,12,13,6,13,12,True,True,True,True,True,South
-1,6,8,14,1,1,5,12,13,6,13,12,False,True,True,True,True,East
-1,7,7,13,1,1,5,12,13,6,13,12,False,True,True,True,True,East
-1,8,6,12,1,1,5,12,13,6,13,12,False,True,True,True,True,East
-1,9,5,11,1,1,5,12,13,6,13,12,False,True,False,True,True,East
-1,10,6,12,1,1,5,12,13,6,13,12,True,True,False,True,True,South
-1,11,7,13,1,1,5,12,13,6,13,12,True,True,False,True,True,South
-1,12,8,14,1,1,5,12,13,6,13,12,True,False,True,True,True,South
-1,13,7,13,1,1,5,12,13,6,13,12,False,False,True,True,True,East
-1,14,6,12,1,1,5,12,13,6,13,12,True,False,True,True,True,East
-1,15,5,11,1,1,5,12,13,6,13,12,True,False,True,True,True,East
-1,16,4,10,1,1,5,12,13,6,13,12,True,False,True,True,True,East
-1,17,3,9,1,1,5,12,13,6,13,12,True,False,True,True,True,East
-1,16,2,8,1,1,5,12,13,6,13,12,True,True,True,True,True,North
-1,15,1,7,1,1,5,12,13,6,13,12,True,True,True,True,True,North
-1,14,-1,6,1,1,5,12,5,1,13,12,False,True,True,True,True,North
-1,15,-1,7,1,1,5,12,5,1,13,12,True,True,True,True,True,East
-1,16,-1,8,1,1,5,12,5,1,13,12,True,True,True,True,True,East
-1,15,-1,7,1,1,5,12,5,1,13,12,True,True,True,True,True,North
-1,14,-1,6,1,1,5,12,5,1,13,12,True,True,True,True,True,North
-1,13,-1,5,1,1,5,12,5,1,13,12,True,True,True,True,True,North
-1,12,-1,4,1,1,5,12,5,1,13,12,True,True,True,True,True,North
-1,11,-1,3,1,1,5,12,5,1,13,12,True,True,True,False,True,North
-1,10,-1,2,1,1,5,12,5,1,13,12,True,True,True,False,True,North
-1,11,-1,3,1,1,5,12,5,1,13,12,True,True,True,False,True,North
-1,12,-1,4,1,1,5,12,5,1,13,12,False,True,True,True,True,North
-1,11,-1,3,1,1,5,12,5,1,13,12,False,False,True,True,True,West
-1,10,-1,2,1,1,5,12,5,1,13,12,False,False,True,True,True,West
-1,9,-1,3,1,1,5,12,5,1,13,12,False,False,True,True,True,West
-1,8,-1,4,1,1,5,12,5,1,13,12,False,False,True,True,True,West
-1,7,-1,5,1,1,5,12,5,1,13,12,False,True,True,True,True,West
-1,6,-1,4,1,1,5,12,5,1,13,12,True,True,False,True,True,South
-1,5,-1,3,1,1,5,12,5,1,13,12,True,False,True,True,True,South
-1,6,-1,2,1,1,5,12,5,1,13,12,False,False,True,True,True,East
-1,7,-1,1,1,1,5,12,5,1,13,12,False,False,True,True,True,East
-1,8,-1,-1,1,1,5,12,5,1,7,1,False,False,False,True,True,East
-1,7,-1,-1,1,1,5,12,5,1,7,1,False,False,True,True,True,West
-1,6,-1,-1,1,1,5,12,5,1,7,1,False,False,True,True,True,West
-1,5,-1,-1,1,1,5,12,5,1,7,1,True,False,True,True,True,West
-1,4,-1,-1,1,1,5,12,5,1,7,1,True,False,True,True,True,West
