@relation 'pacmandirection-weka.filters.unsupervised.attribute.Remove-R4-7,29'

@attribute posPacmanX numeric
@attribute posPacmanY numeric
@attribute score numeric
@attribute distanceGhosts1 numeric
@attribute distanceGhosts2 numeric
@attribute distanceGhosts3 numeric
@attribute distanceGhosts4 numeric
@attribute posGhost1X numeric
@attribute posGhost1Y numeric
@attribute posGhost2X numeric
@attribute posGhost2Y numeric
@attribute posGhost3X numeric
@attribute posGhost3Y numeric
@attribute posGhost4X numeric
@attribute posGhost4Y numeric
@attribute legalNorth {True,False}
@attribute legalSouth {True,False}
@attribute legalEast {True,False}
@attribute legalWest {True,False}
@attribute legalStop {True,False}
@attribute livingGhost1 {True,False}
@attribute livingGhost2 {True,False}
@attribute livingGhost3 {True,False}
@attribute livingGhost4 {True,False}
@attribute directionPacman {North,South,West,East,Stop,None}

@data
12,10,0,11,9,5,3,5,6,5,12,13,6,13,12,False,False,True,True,True,True,True,True,True,Stop
12,10,-1,11,9,5,3,5,6,5,12,13,6,13,12,False,False,True,True,True,True,True,True,True,Stop
12,10,-2,11,9,5,3,5,6,5,12,13,6,13,12,False,False,True,True,True,True,True,True,True,Stop
12,10,-3,11,9,5,3,5,6,5,12,13,6,13,12,False,False,True,True,True,True,True,True,True,Stop
12,10,-4,11,9,5,3,5,6,5,12,13,6,13,12,False,False,True,True,True,True,True,True,True,Stop
13,10,-5,12,10,4,2,5,6,5,12,13,6,13,12,False,True,True,True,True,True,True,True,True,East
14,10,-6,13,11,5,3,5,6,5,12,13,6,13,12,False,True,True,True,True,True,True,True,True,East
14,9,-7,12,12,4,4,5,6,5,12,13,6,13,12,True,True,True,True,True,True,True,True,True,South
14,8,-8,11,13,3,5,5,6,5,12,13,6,13,12,True,True,True,True,True,True,True,True,True,South
14,7,-9,10,14,2,6,5,6,5,12,13,6,13,12,True,True,True,False,True,True,True,True,True,South
14,6,-10,9,15,1,7,5,6,5,12,13,6,13,12,True,True,True,True,True,True,True,True,True,South
