@relation pacmandirection-weka.filters.unsupervised.attribute.Remove-R4-11-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Remove-R16-19-weka.filters.unsupervised.attribute.Remove-R12-15

@attribute posPacmanX numeric
@attribute posPacmanY numeric
@attribute score numeric
@attribute posGhost1X numeric
@attribute posGhost1Y numeric
@attribute posGhost2X numeric
@attribute posGhost2Y numeric
@attribute posGhost3X numeric
@attribute posGhost3Y numeric
@attribute posGhost4X numeric
@attribute posGhost4Y numeric
@attribute directionPacman {North,South,West,East,Stop,None}

@data
12,10,0,5,6,5,12,13,6,13,12,Stop
12,10,-1,5,6,5,12,13,6,13,12,Stop
12,10,-2,5,6,5,12,13,6,13,12,Stop
12,10,-3,5,6,5,12,13,6,13,12,Stop
12,10,-4,5,6,5,12,13,6,13,12,Stop
13,10,-5,5,6,5,12,13,6,13,12,East
14,10,-6,5,6,5,12,13,6,13,12,East
14,9,-7,5,6,5,12,13,6,13,12,South
14,8,-8,5,6,5,12,13,6,13,12,South
14,7,-9,5,6,5,12,13,6,13,12,South
14,6,-10,5,6,5,12,13,6,13,12,South
13,6,189,5,6,5,12,5,1,13,12,West
13,5,188,5,6,5,12,5,1,13,12,South
13,4,187,5,6,5,12,5,1,13,12,South
12,4,186,5,6,5,12,5,1,13,12,West
11,4,185,5,6,5,12,5,1,13,12,West
10,4,184,5,6,5,12,5,1,13,12,West
10,3,183,5,6,5,12,5,1,13,12,South
9,3,182,5,6,5,12,5,1,13,12,West
8,3,181,5,6,5,12,5,1,13,12,West
7,3,180,5,6,5,12,5,1,13,12,West
6,3,179,5,6,5,12,5,1,13,12,West
5,3,178,5,6,5,12,5,1,13,12,West
5,4,177,5,6,5,12,5,1,13,12,North
5,5,176,5,6,5,12,5,1,13,12,North
5,6,375,1,1,5,12,5,1,13,12,North
4,6,374,1,1,5,12,5,1,13,12,West
3,6,373,1,1,5,12,5,1,13,12,West
2,6,372,1,1,5,12,5,1,13,12,West
2,7,371,1,1,5,12,5,1,13,12,North
2,8,370,1,1,5,12,5,1,13,12,North
2,9,369,1,1,5,12,5,1,13,12,North
2,10,368,1,1,5,12,5,1,13,12,North
2,11,367,1,1,5,12,5,1,13,12,North
2,12,366,1,1,5,12,5,1,13,12,North
2,13,365,1,1,5,12,5,1,13,12,North
2,14,364,1,1,5,12,5,1,13,12,North
3,14,363,1,1,5,12,5,1,13,12,East
4,14,362,1,1,5,12,5,1,13,12,East
5,14,361,1,1,5,12,5,1,13,12,East
6,14,360,1,1,5,12,5,1,13,12,East
7,14,359,1,1,5,12,5,1,13,12,East
8,14,358,1,1,5,12,5,1,13,12,East
8,13,357,1,1,5,12,5,1,13,12,South
8,12,356,1,1,5,12,5,1,13,12,South
7,12,355,1,1,5,12,5,1,13,12,West
6,12,354,1,1,5,12,5,1,13,12,West
5,12,553,1,1,3,1,5,1,13,12,West
6,12,552,1,1,3,1,5,1,13,12,East
7,12,551,1,1,3,1,5,1,13,12,East
8,12,550,1,1,3,1,5,1,13,12,East
9,12,549,1,1,3,1,5,1,13,12,East
10,12,548,1,1,3,1,5,1,13,12,East
11,12,547,1,1,3,1,5,1,13,12,East
1,18,0,5,9,11,3,17,6,25,13,Stop
1,18,-1,5,9,11,3,17,6,25,13,Stop
1,18,-2,5,9,11,3,17,6,25,13,Stop
1,18,-3,5,9,11,3,17,6,25,13,Stop
1,18,-4,5,9,11,3,17,6,25,13,Stop
1,18,-5,5,9,11,3,17,6,25,13,Stop
1,17,-6,5,9,11,3,17,6,25,13,South
1,16,-7,5,9,11,3,17,6,25,13,South
1,15,-8,5,9,11,3,17,6,25,13,South
2,15,-9,5,9,11,3,17,6,25,13,East
3,15,-10,5,9,11,3,17,6,25,13,East
4,15,-11,5,9,11,3,17,6,25,13,East
5,15,-12,5,9,11,3,17,6,25,13,East
6,15,-13,5,9,11,3,17,6,25,13,East
7,15,-14,5,9,11,3,17,6,25,13,East
8,15,-15,5,9,11,3,17,6,25,13,East
8,14,-16,5,9,11,3,17,6,25,13,South
8,13,-17,5,9,11,3,17,6,25,13,South
8,12,-18,5,9,11,3,17,6,25,13,South
8,11,-19,5,9,11,3,17,6,25,13,South
8,10,-20,5,9,11,3,17,6,25,13,South
8,9,-21,5,9,11,3,17,6,25,13,South
8,8,-22,5,9,11,3,17,6,25,13,South
8,7,-23,5,9,11,3,17,6,25,13,South
8,6,-24,5,9,11,3,17,6,25,13,South
7,6,-25,5,9,11,3,17,6,25,13,West
6,6,-26,5,9,11,3,17,6,25,13,West
5,6,-27,5,9,11,3,17,6,25,13,West
5,7,-28,5,9,11,3,17,6,25,13,North
5,8,-29,5,9,11,3,17,6,25,13,North
5,9,170,1,1,11,3,17,6,25,13,North
5,8,169,1,1,11,3,17,6,25,13,South
5,7,168,1,1,11,3,17,6,25,13,South
5,6,167,1,1,11,3,17,6,25,13,South
5,5,166,1,1,11,3,17,6,25,13,South
5,4,165,1,1,11,3,17,6,25,13,South
5,3,164,1,1,11,3,17,6,25,13,South
6,3,163,1,1,11,3,17,6,25,13,East
7,3,162,1,1,11,3,17,6,25,13,East
8,3,161,1,1,11,3,17,6,25,13,East
9,3,160,1,1,11,3,17,6,25,13,East
10,3,159,1,1,11,3,17,6,25,13,East
11,3,358,1,1,3,1,17,6,25,13,East
11,4,357,1,1,3,1,17,6,25,13,North
11,5,356,1,1,3,1,17,6,25,13,North
11,6,355,1,1,3,1,17,6,25,13,North
11,7,354,1,1,3,1,17,6,25,13,North
11,8,353,1,1,3,1,17,6,25,13,North
11,9,352,1,1,3,1,17,6,25,13,North
11,10,351,1,1,3,1,17,6,25,13,North
11,11,350,1,1,3,1,17,6,25,13,North
11,12,349,1,1,3,1,17,6,25,13,North
12,12,348,1,1,3,1,17,6,25,13,East
13,12,347,1,1,3,1,17,6,25,13,East
14,12,346,1,1,3,1,17,6,25,13,East
14,11,345,1,1,3,1,17,6,25,13,South
14,10,344,1,1,3,1,17,6,25,13,South
14,9,343,1,1,3,1,17,6,25,13,South
14,8,342,1,1,3,1,17,6,25,13,South
14,7,341,1,1,3,1,17,6,25,13,South
14,6,340,1,1,3,1,17,6,25,13,South
15,6,339,1,1,3,1,17,6,25,13,East
16,6,338,1,1,3,1,17,6,25,13,East
17,6,537,1,1,3,1,5,1,25,13,East
18,6,536,1,1,3,1,5,1,25,13,East
19,6,535,1,1,3,1,5,1,25,13,East
20,6,534,1,1,3,1,5,1,25,13,East
21,6,533,1,1,3,1,5,1,25,13,East
22,6,532,1,1,3,1,5,1,25,13,East
23,6,531,1,1,3,1,5,1,25,13,East
23,7,530,1,1,3,1,5,1,25,13,North
23,8,529,1,1,3,1,5,1,25,13,North
23,9,528,1,1,3,1,5,1,25,13,North
23,10,527,1,1,3,1,5,1,25,13,North
22,10,526,1,1,3,1,5,1,25,13,West
21,10,525,1,1,3,1,5,1,25,13,West
20,10,524,1,1,3,1,5,1,25,13,West
20,11,523,1,1,3,1,5,1,25,13,North
20,12,522,1,1,3,1,5,1,25,13,North
20,13,521,1,1,3,1,5,1,25,13,North
20,14,520,1,1,3,1,5,1,25,13,North
20,15,519,1,1,3,1,5,1,25,13,North
21,15,518,1,1,3,1,5,1,25,13,East
22,15,517,1,1,3,1,5,1,25,13,East
23,15,516,1,1,3,1,5,1,25,13,East
24,15,515,1,1,3,1,5,1,25,13,East
24,14,514,1,1,3,1,5,1,25,13,South
24,14,513,1,1,3,1,5,1,25,13,South
9,1,0,1,5,8,5,11,5,18,5,Stop
9,1,-1,1,5,8,5,11,5,18,5,Stop
9,1,-2,1,5,8,5,11,5,18,5,Stop
9,1,-3,1,5,8,5,11,5,18,5,Stop
10,1,96,1,5,8,5,11,5,18,5,East
11,1,195,1,5,8,5,11,5,18,5,East
12,1,294,1,5,8,5,11,5,18,5,East
13,1,393,1,5,8,5,11,5,18,5,East
14,1,492,1,5,8,5,11,5,18,5,East
15,1,591,1,5,8,5,11,5,18,5,East
16,1,690,1,5,8,5,11,5,18,5,East
17,1,789,1,5,8,5,11,5,18,5,East
18,1,888,1,5,8,5,11,5,18,5,East
18,2,987,1,5,8,5,11,5,18,5,North
18,3,1086,1,5,8,5,11,5,18,5,North
18,4,1185,1,5,8,5,11,5,18,5,North
18,5,1384,1,5,8,5,11,5,7,1,North
