@relation 'pacmandirection-weka.filters.unsupervised.attribute.Remove-R4-11,24,29-weka.filters.unsupervised.attribute.Remove-R12-19'

@attribute posPacmanX numeric
@attribute posPacmanY numeric
@attribute score numeric
@attribute posGhost1X numeric
@attribute posGhost1Y numeric
@attribute posGhost2X numeric
@attribute posGhost2Y numeric
@attribute posGhost3X numeric
@attribute posGhost3Y numeric
@attribute posGhost4X numeric
@attribute posGhost4Y numeric
@attribute directionPacman {North,South,West,East,Stop,None}

@data
12,10,0,5,6,5,12,13,6,13,12,Stop
11,10,-1,5,6,5,12,13,6,13,12,West
10,10,-2,5,6,5,12,13,6,13,12,West
9,10,-3,5,6,5,12,13,6,13,12,West
8,10,-4,5,6,5,12,13,6,13,12,West
7,10,-5,5,6,5,12,13,6,13,12,West
6,10,-6,5,6,5,12,13,6,13,12,West
5,10,-7,5,6,5,12,13,6,13,12,West
4,10,-8,5,6,5,12,13,6,13,12,West
4,9,-9,5,6,5,12,13,6,13,12,South
4,8,-10,5,6,5,12,13,6,13,12,South
4,7,-11,5,6,5,12,13,6,13,12,South
4,6,-12,5,6,5,12,13,6,13,12,South
5,6,187,1,1,5,12,13,6,13,12,East
6,6,186,1,1,5,12,13,6,13,12,East
7,6,185,1,1,5,12,13,6,13,12,East
8,6,184,1,1,5,12,13,6,13,12,East
8,5,183,1,1,5,12,13,6,13,12,South
8,4,182,1,1,5,12,13,6,13,12,South
8,3,181,1,1,5,12,13,6,13,12,South
9,3,180,1,1,5,12,13,6,13,12,East
10,3,179,1,1,5,12,13,6,13,12,East
11,3,178,1,1,5,12,13,6,13,12,East
12,3,177,1,1,5,12,13,6,13,12,East
13,3,176,1,1,5,12,13,6,13,12,East
13,4,175,1,1,5,12,13,6,13,12,North
13,5,174,1,1,5,12,13,6,13,12,North
13,6,373,1,1,5,12,5,1,13,12,North
14,6,372,1,1,5,12,5,1,13,12,East
15,6,371,1,1,5,12,5,1,13,12,East
15,7,370,1,1,5,12,5,1,13,12,North
